MUNI_ID¬MUNI_NOMBRE¬DEPA_NOMBRE¬PUNTAJE_PROMEDIO¬ERRORESTANDARPROMEDIO¬DESVIACION¬PORCENTAJE_INSUFICIENTE¬PORCENTAJE_MINIMO¬PORCENTAJE_SATISFACTORIO¬PORCENTAJE_AVANZADO¬N
91669¬Puerto Santander¬Amazonas¬273¬3,112¬42¬31¬69¬0¬0¬13
19573¬Puerto Tejada¬Cauca¬264¬0,459¬45¬41¬54¬5¬0¬590
05591¬Puerto Triunfo¬Antioquia¬311¬1,224¬51¬15¬58¬25¬2¬158
68575¬Puerto Wilches¬Santander¬263¬0,561¬48¬44¬51¬5¬1¬407
25580¬Pulí¬Cundinamarca¬305¬0¬57¬16¬56¬26¬2¬43
52585¬Pupiales¬Nariño¬316¬0,459¬52¬12¬60¬24¬4¬250
19585¬Puracé¬Cauca¬278¬1,122¬47¬31¬62¬8¬0¬173
73585¬Purificación¬Tolima¬277¬0,663¬52¬34¬54¬10¬2¬275
23586¬Purísima¬Córdoba¬276¬0,663¬43¬30¬64¬5¬0¬261
17513¬Pácora¬Caldas¬307¬1,122¬59¬18¬58¬18¬6¬179
15514¬Páez¬Boyacá¬308¬0¬72¬16¬58¬21¬5¬43
68533¬Páramo¬Santander¬348¬0,969¬64¬6¬41¬42¬12¬69
25592¬Quebradanegra¬Cundinamarca¬305¬2,296¬54¬17¬55¬26¬2¬58
25594¬Quetame¬Cundinamarca¬303¬1,429¬64¬23¬50¬25¬3¬105
27001¬Quibdó¬Chocó¬270¬0,306¬48¬39¬52¬7¬1¬1975
63594¬Quimbaya¬Quindio¬298¬0,867¬58¬24¬54¬18¬4¬371
66594¬Quinchía¬Risaralda¬281¬0,459¬49¬30¬58¬11¬1¬420
25596¬Quipile¬Cundinamarca¬293¬1,276¬49¬21¬63¬15¬1¬89
15580¬Quípama¬Boyacá¬305¬1,531¬47¬13¬64¬23¬0¬77
54599¬Ragonvalia¬Norte De Santander¬302¬2,143¬59¬24¬50¬22¬3¬58
15599¬Ramiriquí¬Boyacá¬321¬1,276¬60¬14¬54¬27¬6¬169
85279¬Recetor¬Casanare¬327¬0¬47¬7¬53¬40¬0¬15
13580¬Regidor¬Bolívar¬291¬2,398¬55¬37¬44¬17¬2¬52
