MUNI_ID¬MUNI_NOMBRE¬DEPA_NOMBRE¬PUNTAJE_PROMEDIO¬ERRORESTANDARPROMEDIO¬DESVIACION¬PORCENTAJE_INSUFICIENTE¬PORCENTAJE_MINIMO¬PORCENTAJE_SATISFACTORIO¬PORCENTAJE_AVANZADO¬N
68524¬Palmas del Socorr¬Santander¬338¬1,378¬49¬3¬24¬46¬27¬37
76520¬Palmira¬Valle Del Cauca¬317¬0,255¬57¬15¬34¬30¬21¬3829
70523¬Palmito¬Sucre¬286¬0,612¬43¬30¬42¬19¬9¬328
73520¬Palocabildo¬Tolima¬328¬1,633¬52¬9¬30¬36¬26¬145
54518¬Pamplona¬Norte De Santander¬337¬0,408¬53¬8¬26¬36¬30¬653
54520¬Pamplonita¬Norte De Santander¬325¬0¬44¬3¬35¬41¬21¬68
25524¬Pandi¬Cundinamarca¬314¬0,969¬51¬18¬24¬42¬16¬55
15522¬Panqueba¬Boyacá¬328¬0¬63¬12¬24¬36¬28¬25
25530¬Paratebueno¬Cundinamarca¬294¬1,02¬51¬17¬51¬23¬8¬203
25535¬Pasca¬Cundinamarca¬302¬0,612¬49¬17¬37¬36¬10¬151
52001¬Pasto¬Nariño¬329¬0,204¬55¬10¬29¬35¬26¬5066
19532¬Patía¬Cauca¬303¬0,612¬52¬19¬39¬29¬13¬529
15531¬Pauna¬Boyacá¬322¬2,041¬53¬8¬38¬33¬21¬109
15533¬Paya¬Boyacá¬297¬1,633¬47¬18¬36¬36¬11¬28
85250¬Paz de Ariporo¬Casanare¬303¬0,51¬51¬18¬41¬28¬13¬767
15537¬Paz de Río¬Boyacá¬312¬1,02¬60¬20¬34¬23¬23¬61
47541¬Pedraza¬Magdalena¬278¬1,02¬44¬36¬44¬13¬7¬157
20550¬Pelaya¬Cesar¬280¬0,408¬44¬32¬44¬17¬7¬453
17541¬Pensilvania¬Caldas¬323¬0,918¬57¬10¬36¬28¬26¬299
05543¬Peque¬Antioquia¬324¬0,663¬49¬7¬33¬42¬18¬144
66001¬Pereira¬Risaralda¬311¬0,204¬53¬17¬36¬28¬19¬5855
15542¬Pesca¬Boyacá¬310¬0,969¬46¬9¬40¬36¬15¬108
05541¬Peñol¬Antioquia¬322¬1,071¬55¬9¬33¬35¬23¬233
19533¬Piamonte¬Cauca¬292¬1,224¬58¬27¬40¬23¬11¬200
68547¬Piedecuesta¬Santander¬333¬0,306¬57¬10¬28¬33¬29¬2507
73547¬Piedras¬Tolima¬298¬2,092¬50¬18¬49¬23¬10¬71
19548¬Piendamó¬Cauca¬296¬0,357¬47¬22¬41¬27¬10¬572
