cole_cod_dane_establecimiento,cole_nombre_establecimiento,punt_lectura_critica_mean,punt_lectura_critica_count,punt_lectura_critica_std,punt_matematicas_mean,punt_matematicas_count,punt_matematicas_std,punt_c_naturales_mean,punt_c_naturales_count,punt_c_naturales_std,punt_sociales_ciudadanas_mean,punt_sociales_ciudadanas_count,punt_sociales_ciudadanas_std,punt_ingles_mean,punt_ingles_count,punt_ingles_std,punt_global_mean,punt_global_count,punt_global_std
250680000138,IE SIMON BOLIVAR,48.94444444444444,36,6.256171556126201,45.19444444444444,36,8.074012790408654,49.111111111111114,36,5.44467119709211,44.30555555555556,36,7.607588108290093,42.361111111111114,36,6.347790516742377,232.72222222222223,36,26.48299843954998
250683000724,IE COSTA RICA,46.27272727272727,22,7.490831336544307,45.27272727272727,22,8.195131064246205,43.36363636363637,22,7.737019572255964,42.54545454545455,22,8.063600003822424,46.09090909090909,22,7.52082246584578,222.45454545454547,22,30.254046990565733
250683000759,IE MANACAL,49.705882352941174,34,7.990636231219586,45.55882352941177,34,10.451014671546687,47.94117647058823,34,8.282662346351687,45.911764705882355,34,8.475875380048397,43.3235294117647,34,7.425266399609468,234.91176470588235,34,36.11208783358467
250689001447,IE IRACA,52.32098765432099,81,7.561129479935232,52.69135802469136,81,8.89331487032344,53.407407407407405,81,7.111219617227725,51.48148148148148,81,8.719390906352217,53.135802469135804,81,8.416877518444343,262.5925925925926,81,34.01168099998063
250711000930,IE PEDRO NEL JIMENEZ OBANDO,47.80769230769231,26,7.149932759231968,43.19230769230769,26,7.499435876220188,46.42307692307692,26,6.2172217391569795,46.11538461538461,26,8.691729048132705,41.42307692307692,26,6.877052141277261,227.76923076923077,26,28.16850396071143
250711001235,IE GABRIELA MISTRAL,53.714285714285715,14,6.626619644440739,48.92857142857143,14,8.306293125968134,53.142857142857146,14,6.125070082577303,49.357142857142854,14,7.996221635220002,47.214285714285715,14,7.433588753639911,254.71428571428572,14,29.774611206990976
252001000127,I.E.M. MORASURCO,48.733333333333334,15,8.276184996436347,47.06666666666667,15,12.144761755392244,51.0,15,8.062257748298551,49.0,15,8.518886580500327,48.86666666666667,15,4.611579628139003,244.66666666666666,15,38.67939035320022
252001000186,I.E.M. GUALMATAN,52.333333333333336,9,5.500000000000001,48.111111111111114,9,8.100068586815244,48.888888888888886,9,7.321960878829599,50.666666666666664,9,5.744562646538029,42.44444444444444,9,6.691619966628243,247.22222222222223,9,25.955624524261488
252001000275,I.E.M. NUESTRA SEÑORA DE LA VISITACION,52.77272727272727,22,6.59676557240865,47.04545454545455,22,6.834626632971344,48.27272727272727,22,6.13484829774654,45.72727272727273,22,9.755007594060249,45.13636363636363,22,6.281457629938289,241.0,22,28.673863991280914
252001000283,I.E.M. CRISTO REY,49.86666666666667,45,8.564196082847156,46.62222222222222,45,10.046005286790477,47.666666666666664,45,7.115923245536283,47.24444444444445,45,10.47324633954959,42.6,45,7.199747470318916,237.24444444444444,45,38.759840718522725
252001000470,I.E.M. MARCO FIDEL SUÁREZ,49.25,48,8.943082433045964,43.479166666666664,48,9.296509487570175,48.104166666666664,48,7.580039811643425,44.208333333333336,48,9.578251813427043,44.75,48,7.051482415444226,230.75,48,37.2727154786036
252001000500,I.E.M. CABRERA,52.38095238095238,21,9.227546751310397,47.095238095238095,21,10.816213579181774,52.714285714285715,21,9.386920992225605,50.0,21,12.653062870309308,50.095238095238095,21,10.55416866410975,252.57142857142858,21,47.44214521769798
252001001247,I.E.M. EL SOCORRO,48.0,28,7.61577310586391,45.035714285714285,28,8.770667202362839,49.0,28,8.027729719194861,46.607142857142854,28,9.589111439599513,44.5,28,6.752228712994887,234.82142857142858,28,34.01530545638251
